Stunden,Feinstaub (µg/m³),Stickstoffdioxid (µg/m³)
0,6.73415312613737,3
1,4.0008428930262,14
2,2.8859537462814,15
3,6.23345273774147,17
4,4.25498544938791,44
5,5.81651144793471,61
6,5.53938388681885,83
7,8.37554013889207,94
8,8.57901758043303,93
9,9.55649212730156,80
10,12.9778217942719,73
11,9.42510821055278,65
12,10.3308422575206,67
13,13.2042455958722,71
14,17.0673053375133,75
15,15.6813111897566,86
16,13.5649266996021,88
17,13.9439353374248,90
18,16.0018768995247,84
19,16.5672226928638,73
20,18.9225387668544,60
21,17.4176609480622,40
22,19.7185959735145,29
23,18.1928574992955,20
24,16.3434044268606,18
25,17.1465256809987,10
26,17.784085897884,9
27,17.3278401864344,7
28,17.0646701056121,7
29,15.6729949696487,13
30,17.3593374885266,26
31,16.9165652686,40
32,12.8768264111212,40
33,8.45953303963162,22
34,12.7969302280288,22
35,8.60901071284514,22
36,12.4392536615736,29
37,12.0390517360657,33
38,9.32876089364611,42
39,8.46035941514595,40
40,12.0586199224224,45
41,8.5327167110515,63
42,9.97173643546464,46
43,7.18612839940123,62
44,8.70598310266597,58
45,8.66157539903234,50
46,11.878896040019,60
47,9.35795247876483,54
48,7.5167066226156,43
49,9.98462448573701,38
50,11.4314861401897,31
51,11.1182892604235,35
52,11.4568120744096,36
53,13.7531326623778,37
54,11.4012806508553,50
55,13.5406764857429,69
56,12.1112551440682,56
57,17.150481835314,46
58,13.5502323306633,41
59,10.090991491865,38
60,12.6989936780375,34
61,16.3430294502721,41
62,13.0312985927564,42
63,15.8458511724523,49
64,10.4355148711132,59
65,18.1524027770877,81
66,13.57625160064,87
67,19.8944280487659,86
68,18.7756069053532,72
69,21.0115612673875,63
70,18.3660978007954,64
71,21.7556960676399,62
72,19.4414301171857,55
73,22.603454389606,54
74,23.8394186524869,51
75,23.0488723906518,52
76,26.2367441713766,57
77,27.0278050868936,65
78,22.9838512529403,76
79,26.5934956274239,81
80,23.6308557563068,79
81,26.3010142755254,67
82,26.3845438228862,62
83,24.565954774864,65
84,24.7292185877608,75
85,26.5928463274496,82
86,27.3706635482423,86
87,26.3649593574295,95
88,25.5056437956524,86
89,26.5097908295762,87
90,23.8362033156752,75
91,23.7442314274641,44
92,20.5487245850748,40
93,21.1213760221232,31
94,15.6985938310542,26
95,17.3870484658567,21
96,13.853059037554,11
97,17.0139885781563,8
98,14.2851355425546,8
99,14.4280571353593,8
100,16.0316115071878,10
101,15.7982485108896,16
102,10.7215772141765,23
103,10.4178478598663,29
104,15.4193807355438,24
105,3.97472445729171,24
106,8.19449167680608,20
107,7.13374861505348,18
108,7.18434146662223,23
109,6.57868879775579,31
110,5.70840146807521,37
111,4.29200679075571,33
112,0.823027771017757,38
113,2.57718168373968,31
114,3.58970220883043,31
115,5.76849497621966,30
116,3.52104463302281,28
117,4.02333976258398,28
118,5.50594119198857,30
119,5.95716625180542,19
120,1.92481013355836,13
121,1.17715039581778,12
122,1.02309798893071,11
123,2.98945281614136,12
124,6.92073361224593,11
125,5.96391656608528,14
126,2.52771619258103,16
127,5.10317978123477,24
128,8.17020038746066,25
129,8.9076846967373,21
130,7.87570565237379,14
131,8.40409751343078,13
132,7.33073635666728,18
133,8.85793456932285,17
134,10.4325068952373,24
135,11.7216997248724,15
136,8.19925915050234,19
137,8.70653963824435,30
138,8.6283521693332,52
139,10.860652099705,52
140,6.17415220205679,48
141,11.7404027184019,37
142,9.06176303297501,36
143,14.3178282453066,39
144,11.7064886957883,33
145,11.9974435060617,30
146,11.1681298339692,25
147,16.0077185673124,25
148,13.7441334210782,20
149,11.2671085026235,24
150,12.8091213965076,20
151,12.2729460844883,19
152,13.0610436445606,12
153,11.6464786537946,15
154,14.7083517930376,15
155,11.1559286814104,14
156,12.0056156945981,26
157,13.7363476905574,23
158,11.3948310565742,22
159,11.3731412287761,26
160,10.2045551128586,31
161,12.8389425629586,35
162,13.6605331312242,58
163,10.2619669330246,44
164,12.4846139677678,40
165,8.17317137517357,40
166,9.19634492838103,33
167,10.2052179392075,26
